iter	Passed	Remaining
0	1	373
1	3	343
2	5	329
3	6	322
4	7	281
5	8	265
6	10	282
7	11	280
8	12	275
9	14	277
10	16	276
11	17	277
12	19	274
13	20	271
14	22	273
15	23	272
16	25	274
17	26	268
18	27	262
19	28	257
20	29	251
21	31	253
22	32	248
23	33	243
24	34	239
25	35	240
26	37	240
27	39	242
28	41	243
29	42	241
30	43	237
31	44	231
32	45	232
33	46	229
34	47	225
35	48	222
36	50	220
37	51	220
38	52	218
39	54	218
40	55	216
41	57	216
42	59	215
43	60	214
44	62	213
45	63	212
46	64	211
47	66	209
48	67	208
49	69	207
50	70	206
51	72	207
52	74	205
53	75	203
54	76	202
55	78	201
56	80	201
57	82	200
58	83	200
59	85	199
60	86	198
61	88	197
62	89	195
63	91	193
64	92	191
65	93	190
66	95	188
67	96	188
68	98	186
69	99	184
70	101	184
71	102	182
72	104	182
73	106	180
74	107	178
75	108	177
76	110	176
77	112	175
78	113	174
79	115	173
80	117	172
81	119	171
82	120	170
83	122	168
84	123	166
85	124	165
86	126	163
87	127	162
88	129	161
89	130	159
90	132	158
91	134	157
92	135	155
93	136	154
94	137	152
95	138	150
96	139	148
97	143	148
98	146	149
99	149	149
100	153	150
101	155	149
102	159	149
103	162	149
104	165	149
105	169	150
106	171	148
107	173	147
108	176	147
109	179	147
110	183	146
111	186	146
112	188	144
113	190	144
114	194	143
115	197	143
116	201	142
117	203	141
118	205	139
119	208	139
120	212	138
121	214	136
122	217	136
123	219	134
124	221	132
125	224	131
126	227	130
127	230	129
128	234	129
129	237	127
130	239	126
131	242	124
132	245	123
133	248	122
134	250	120
135	252	118
136	254	116
137	256	115
138	258	113
139	260	111
140	262	109
141	264	108
142	266	106
143	268	104
144	270	102
145	271	100
146	272	98
147	275	96
148	276	94
149	278	92
150	280	90
151	281	88
152	282	86
153	284	84
154	285	82
155	286	80
156	287	78
157	289	76
158	291	75
159	293	73
160	294	71
161	295	69
162	296	67
163	297	65
164	298	63
165	300	61
166	301	59
167	302	57
168	304	55
169	306	54
170	308	52
171	310	50
172	312	48
173	313	46
174	314	44
175	315	43
176	317	41
177	319	39
178	321	37
179	323	35
180	325	34
181	327	32
182	328	30
183	329	28
184	331	26
185	332	25
186	334	23
187	336	21
188	338	19
189	340	17
190	342	16
191	343	14
192	344	12
193	346	10
194	347	8
195	349	7
196	351	5
197	352	3
198	355	1
199	356	0
